epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,2688.09,1.03634,0.535,1.19521,0.94887,0.90775,0.9716,0.64528,1.20024,0.58385,1.2735,0.0012327,0.0012327,0.0012327
79,2722.52,1.03873,0.52933,1.18389,0.9328,0.91281,0.96945,0.64694,1.20204,0.57542,1.2685,0.00121583,0.00121583,0.00121583
80,2756.96,1.03384,0.52919,1.19118,0.9206,0.93103,0.96694,0.64538,1.22065,0.55752,1.27364,0.0011989,0.0011989,0.0011989
81,2791.32,1.01821,0.52921,1.17157,0.945,0.89552,0.97097,0.63811,1.20498,0.60428,1.29032,0.00118191,0.00118191,0.00118191
82,2825.68,1.01299,0.52045,1.17407,0.92841,0.92555,0.96675,0.63781,1.23016,0.57769,1.29042,0.00116487,0.00116487,0.00116487
83,2860.03,1.01551,0.52456,1.17565,0.93493,0.92171,0.97176,0.63683,1.2456,0.57842,1.29233,0.00114778,0.00114778,0.00114778
84,2894.38,1.01114,0.51232,1.18343,0.92218,0.93504,0.97215,0.64523,1.21428,0.56198,1.27765,0.00113065,0.00113065,0.00113065
85,2928.75,1.01933,0.50889,1.18993,0.93713,0.90938,0.96495,0.6436,1.20281,0.57136,1.27264,0.00111348,0.00111348,0.00111348
86,2963.11,1.00489,0.51338,1.17246,0.93764,0.9174,0.97438,0.64782,1.20146,0.5662,1.27841,0.00109628,0.00109628,0.00109628
87,2997.57,0.99612,0.51353,1.17179,0.92926,0.92221,0.97212,0.64466,1.20322,0.56434,1.27432,0.00107906,0.00107906,0.00107906
88,3031.91,0.98205,0.50168,1.15909,0.92729,0.92462,0.96765,0.63661,1.21351,0.57994,1.27682,0.00106181,0.00106181,0.00106181
89,3066.22,1.00078,0.50671,1.1837,0.93934,0.9189,0.9695,0.639,1.20133,0.56482,1.27021,0.00104455,0.00104455,0.00104455
90,3100.52,1.00327,0.51078,1.17483,0.9393,0.91832,0.97084,0.64361,1.18889,0.56533,1.26795,0.00102728,0.00102728,0.00102728
91,3134.84,0.99384,0.50746,1.1734,0.92388,0.93443,0.96997,0.64488,1.19935,0.55731,1.27009,0.00101,0.00101,0.00101
92,3169.19,1.00112,0.50982,1.17401,0.93165,0.92221,0.96711,0.63661,1.22597,0.55929,1.26546,0.000992722,0.000992722,0.000992722
93,3203.53,1.00397,0.49302,1.16248,0.931,0.9306,0.9706,0.64434,1.21329,0.54652,1.27477,0.000975449,0.000975449,0.000975449
94,3237.92,0.98964,0.51112,1.1704,0.9349,0.91981,0.96934,0.6418,1.20259,0.58039,1.27735,0.000958187,0.000958187,0.000958187
