epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,2436.4,1.02177,0.52739,1.16793,0.92348,0.92759,0.96266,0.62004,1.24544,0.60562,1.32491,0.0009308,0.0009308,0.0009308
83,2466.05,1.0171,0.53377,1.17179,0.93844,0.90528,0.96526,0.62717,1.24405,0.58613,1.319,0.0009176,0.0009176,0.0009176
84,2495.68,1.02192,0.52142,1.1606,0.92609,0.92576,0.96666,0.62897,1.23437,0.59116,1.31627,0.0009044,0.0009044,0.0009044
85,2525.4,1.01185,0.52592,1.15296,0.93079,0.91611,0.9698,0.63396,1.23607,0.57887,1.33249,0.0008912,0.0008912,0.0008912
86,2555.09,1.00016,0.50867,1.14738,0.9523,0.88918,0.96924,0.63776,1.2198,0.59452,1.31489,0.000878,0.000878,0.000878
87,2584.78,1.00233,0.51004,1.15738,0.94534,0.90621,0.96591,0.63178,1.23749,0.58029,1.31593,0.0008648,0.0008648,0.0008648
88,2614.43,1.00561,0.50866,1.1726,0.9274,0.90365,0.96243,0.62921,1.25065,0.57387,1.32368,0.0008516,0.0008516,0.0008516
89,2644.05,0.99901,0.50402,1.15748,0.92332,0.93013,0.96594,0.64091,1.23616,0.57528,1.30985,0.0008384,0.0008384,0.0008384
90,2673.81,0.98417,0.50545,1.15196,0.91344,0.92167,0.96135,0.62864,1.24968,0.59896,1.32371,0.0008252,0.0008252,0.0008252
91,2703.46,1.00511,0.50282,1.14132,0.91403,0.91923,0.96066,0.61965,1.25894,0.59444,1.32868,0.000812,0.000812,0.000812
92,2733.14,0.98225,0.50109,1.14578,0.93416,0.90459,0.9629,0.62836,1.24699,0.5727,1.33091,0.0007988,0.0007988,0.0007988
93,2762.79,0.96749,0.4907,1.14093,0.92491,0.92052,0.96253,0.62024,1.25166,0.5906,1.33753,0.0007856,0.0007856,0.0007856
94,2792.44,0.99148,0.50567,1.15078,0.92743,0.92641,0.96994,0.6253,1.24347,0.58314,1.34456,0.0007724,0.0007724,0.0007724
95,2822.08,0.9828,0.49451,1.15427,0.92577,0.91496,0.97022,0.63887,1.21632,0.57919,1.32327,0.0007592,0.0007592,0.0007592
96,2851.71,0.99671,0.50762,1.14708,0.944,0.91441,0.96966,0.6313,1.2269,0.56657,1.30309,0.000746,0.000746,0.000746
97,2881.36,0.96831,0.49578,1.13622,0.93062,0.92576,0.966,0.63257,1.24412,0.57986,1.31947,0.0007328,0.0007328,0.0007328
98,2911.01,0.99116,0.50381,1.15381,0.94074,0.90126,0.96443,0.63504,1.23871,0.57614,1.29621,0.0007196,0.0007196,0.0007196
99,2940.63,0.97252,0.50288,1.14822,0.92963,0.91878,0.96745,0.63555,1.22733,0.56,1.29639,0.0007064,0.0007064,0.0007064
100,2970.26,0.95675,0.49237,1.1369,0.93813,0.88726,0.95529,0.62563,1.26195,0.58498,1.32783,0.0006932,0.0006932,0.0006932
101,2999.92,0.97434,0.48791,1.13493,0.93352,0.90755,0.96784,0.63789,1.23938,0.5881,1.31474,0.00068,0.00068,0.00068
102,3029.59,0.97881,0.48536,1.14607,0.94641,0.91092,0.96914,0.62785,1.23706,0.58482,1.31716,0.0006668,0.0006668,0.0006668
103,3059.22,0.9373,0.47084,1.12269,0.9082,0.94183,0.96927,0.6311,1.23313,0.571,1.32393,0.0006536,0.0006536,0.0006536
104,3088.88,0.95109,0.47724,1.13996,0.93415,0.92052,0.96704,0.63168,1.24451,0.5777,1.32502,0.0006404,0.0006404,0.0006404
105,3118.53,0.94641,0.48308,1.12573,0.92507,0.91354,0.96542,0.63347,1.24654,0.57781,1.32064,0.0006272,0.0006272,0.0006272
106,3148.15,0.94783,0.4801,1.13474,0.9455,0.90915,0.96614,0.63258,1.25203,0.56599,1.34248,0.000614,0.000614,0.000614
107,3177.78,0.94657,0.4676,1.12505,0.93388,0.92402,0.96706,0.63031,1.24563,0.56085,1.34096,0.0006008,0.0006008,0.0006008
108,3207.42,0.94451,0.48089,1.14284,0.93948,0.90842,0.96263,0.63688,1.24517,0.57942,1.33881,0.0005876,0.0005876,0.0005876
109,3237.04,0.92897,0.46817,1.11394,0.92477,0.91253,0.96551,0.63501,1.22216,0.57486,1.30592,0.0005744,0.0005744,0.0005744
110,3266.65,0.926,0.46865,1.12391,0.92242,0.93459,0.96536,0.63934,1.23146,0.56545,1.31724,0.0005612,0.0005612,0.0005612
111,3296.26,0.92237,0.45898,1.12479,0.95043,0.9042,0.9671,0.64454,1.23843,0.55258,1.32043,0.000548,0.000548,0.000548
112,3325.99,0.91175,0.45635,1.11536,0.92641,0.91354,0.96472,0.63844,1.24011,0.56745,1.32428,0.0005348,0.0005348,0.0005348
113,3355.61,0.91765,0.44985,1.10997,0.93621,0.91004,0.96539,0.63641,1.23391,0.58816,1.32878,0.0005216,0.0005216,0.0005216
114,3385.26,0.91643,0.46108,1.11631,0.92965,0.91177,0.95856,0.62559,1.24927,0.57805,1.33778,0.0005084,0.0005084,0.0005084
115,3414.88,0.91267,0.46048,1.11566,0.93157,0.91703,0.96234,0.62615,1.24172,0.57571,1.3313,0.0004952,0.0004952,0.0004952
116,3444.48,0.90344,0.45296,1.1176,0.93567,0.91441,0.96381,0.63897,1.24082,0.57324,1.32396,0.000482,0.000482,0.000482
117,3474.11,0.9199,0.45619,1.13078,0.92044,0.93964,0.96642,0.63551,1.23014,0.56273,1.32456,0.0004688,0.0004688,0.0004688
118,3503.72,0.89616,0.44299,1.11079,0.942,0.92192,0.97048,0.64172,1.2337,0.56106,1.31401,0.0004556,0.0004556,0.0004556
119,3533.36,0.9041,0.45443,1.11255,0.92141,0.92227,0.96233,0.63644,1.23664,0.56274,1.32992,0.0004424,0.0004424,0.0004424
120,3562.98,0.88972,0.43812,1.10155,0.942,0.90917,0.96329,0.63763,1.22972,0.56326,1.33471,0.0004292,0.0004292,0.0004292
121,3592.59,0.88776,0.44595,1.09947,0.94036,0.91965,0.95868,0.626,1.241,0.55172,1.32166,0.000416,0.000416,0.000416
122,3622.2,0.90636,0.45658,1.11164,0.92502,0.92576,0.96066,0.63206,1.22918,0.55429,1.32254,0.0004028,0.0004028,0.0004028
123,3651.81,0.88542,0.45007,1.09174,0.94179,0.91616,0.96233,0.63168,1.24354,0.56412,1.33875,0.0003896,0.0003896,0.0003896
124,3681.41,0.87918,0.43866,1.10736,0.91869,0.9276,0.96071,0.63536,1.25244,0.54792,1.34531,0.0003764,0.0003764,0.0003764
125,3711.05,0.90258,0.44362,1.11456,0.93569,0.91491,0.96251,0.64265,1.24229,0.53822,1.33136,0.0003632,0.0003632,0.0003632
126,3740.66,0.87984,0.435,1.08042,0.93035,0.92162,0.96419,0.64368,1.23741,0.54084,1.33185,0.00035,0.00035,0.00035
127,3770.3,0.87018,0.4313,1.09864,0.92642,0.93467,0.96571,0.63841,1.24674,0.54827,1.33699,0.0003368,0.0003368,0.0003368
128,3799.93,0.86876,0.42496,1.09024,0.93848,0.91925,0.96549,0.64099,1.23537,0.54815,1.32245,0.0003236,0.0003236,0.0003236
129,3829.52,0.87643,0.43967,1.10227,0.94284,0.91965,0.96824,0.63977,1.2398,0.55732,1.32722,0.0003104,0.0003104,0.0003104
130,3859.14,0.86364,0.42319,1.07925,0.93714,0.9244,0.96491,0.63957,1.23897,0.54299,1.3205,0.0002972,0.0002972,0.0002972
131,3888.71,0.86231,0.42759,1.0887,0.9316,0.92781,0.96346,0.6434,1.24858,0.54418,1.3308,0.000284,0.000284,0.000284
132,3918.31,0.87268,0.42822,1.09515,0.94777,0.91917,0.96782,0.63747,1.25536,0.55033,1.32863,0.0002708,0.0002708,0.0002708
133,3947.9,0.85656,0.42419,1.08388,0.94759,0.91586,0.96859,0.64281,1.24811,0.54986,1.34048,0.0002576,0.0002576,0.0002576
134,3977.51,0.83785,0.40619,1.07133,0.94422,0.92227,0.96838,0.64671,1.23624,0.54011,1.3346,0.0002444,0.0002444,0.0002444
